FGF_ligand,WNT_ligand,BMP_ligand,DELTA_ligand,TGFB_ligand,FGF_receptor,WNT_receptor,BMP_receptor,DELTA_receptor,TGFB_receptor,FGF_inhibitor,WNT_inhibitor,BMP_inhibitor,WNT_agonist,BMP_target,WNT_target,FGF_target
fgf1.L,wnt1.L,bmp10.L,dll1.L,tgfb1.L,fgfr2.L,apcdd1.L,bmpr1a.L,notch1.S,tgfbr1.S,fgfbp1.L,dkk1.L,szl.L,rspo1.L,id2.L,lgr5.L,dusp6.L
fgf1.S,wnt1.S,bmp10.S,dll1.S,tgfb1.S,fgfr2.S,atp6ap2.L,bmpr1a.S,notch2.L,tgfbr2.L,fgfbp1.S,dkk1.S,cer1.L,rspo2.L,id2.S,lgr5.S,dusp6.S
fgf10.L,wnt11.L,bmp15.L,dll4.L,tgfb2.L,fgfr3.L,atp6ap2.S,bmpr1b.L,notch3.L,tgfbr2.S,fgfrl1.L,dkk2.L,cer1.S,rspo3.L,id3.L,axin1.L,spry1.L
fgf10.S,wnt2.L,bmp2.L,jag1.L,tgfb2.S,fgfr3.S,fzd1.L,bmpr1b.S,notch3.S,tgfbr3.L,,dkk2.S,chrd.S,rspo2.S,id3.S,axin1.S,spry1.S
fgf11.S,wnt2.S,bmp2.S,jag1.S,,fgfr4.L,fzd10.L,bmpr2.L,,tgfbr3.S,,dkk3.L,chrdl2.S,,id4.L,axin2.L,spry2.L
fgf12.L,wnt3.L,bmp3.L,jag2.L,,fgfr4.S,fzd10.S,bmpr2.S,,,,dkk3.S,chrdl2.L,,id4.S,axin2.S,spry2.S
fgf12.S,wnt3a.L,bmp3.S,jag2.S,,fgfrl1.L,fzd2.S,,,,,dkkx.L,chrd.1.L,,msx1.L,myc.L,spry3.L
fgf13.L,wnt3a.S,bmp4.L,,,,fzd3.L,,,,,sfrp1.L,chrd.2.L,,msx1.S,myc.S,spry3.S
fgf13.S,wnt4.L,bmp4.S,,,,fzd3.S,,,,,sfrp1.S,chrdl1.L,,msx2.L,tcf7.S,spry4.L
fgf14.S,wnt4.S,bmp5.L,,,,fzd4.S,,,,,sfrp2.L,chrdl1.S,,msx2.S,dkk1.L,spry4.S
fgf16.L,wnt5a.L,bmp6.L,,,,fzd5.L,,,,,sfrp2.S,bmper.L,,shank3.S,dkk1.S,dusp1.L
fgf16.S,wnt5a.S,bmp6.S,,,,fzd5.S,,,,,sfrp4.L,sostdc1.L,,wwc1.L,lef1.L,dusp1.S
fgf19.L,wnt7a.S,,,,,fzd6.L,,,,,sfrp5.L,sostdc1.S,,wwc2.L,lef1.S,etv1.L
fgf19.S,wnt7b.L,,,,,fzd8.L,,,,,sfrp5.S,nbl1.L,,wwc2.S,notum.L,etv1.S
fgf2.L,,,,,,fzd8.S,,,,,frzb.L,nbl1.S,,dpysl2.S,notum.S,fos.L
fgf2.S,,,,,,fzd9.L,,,,,frzb.S,dand5.L,,,ascl2.L,fos.S
fgf20.L,,,,,,fzd9.S,,,,,frzb2.L,nog.L,,,ascl2.S,jun.L
fgf20.S,,,,,,lrp1.L,,,,,,nog.S,,,cd44.L,jun.S
fgf21.S,,,,,,lrp1.S,,,,,,nog2.L,,,cd44.S,
fgf22.L,,,,,,lrp5.L,,,,,,nog4.L,,,snai2.L,
fgf3.S,,,,,,mcam.L,,,,,,nog4.S,,,,
fgf4.L,,,,,,mcam.S,,,,,,grem1.L,,,,
fgf5.S,,,,,,ror1.L,,,,,,twsg1.L,,,,
fgf6.L,,,,,,ror1.S,,,,,,twsg1.S,,,,
fgf7.L,,,,,,ror2.L,,,,,,twsg2.L,,,,
fgf7.S,,,,,,ror2.S,,,,,,twsg2.S,,,,
fgf8.L,,,,,,ryk.L,,,,,,fst.L,,,,
fgf9.L,,,,,,ryk.S,,,,,,fstl1.L,,,,
fgf9.S,,,,,,,,,,,,,,,,